0            0
C            0         8655
H          0.0          0.0
H          1.0         35.3
H          2.0         34.8
H          3.0         34.3
H          4.0         33.8
H          5.0         33.3
H          6.0         32.8
H          7.0         32.4
H          8.0         31.9
H          9.0         31.4
H         10.0         31.0
H         11.0         30.5
H         12.0         30.1
H         13.0         29.6
H         14.0         29.1
H         15.0         28.7
H         16.0         28.2
H         17.0         27.8
H         18.0         27.4
H         19.0         26.9
H         20.0         26.5
H         21.0         26.1
H         22.0         25.7
H         23.0         25.3
H         24.0         25.0
H         25.0         24.6
H         26.0         24.2
H         27.0         23.8
H         28.0         23.5
H         29.0         23.1
H         30.0         22.8
H         31.0         22.4
H         32.0         22.1
H         33.0         21.7
H         34.0         21.4
H         35.0         21.1
H         36.0         20.8
H         37.0         20.4
H         38.0         20.1
H         39.0         19.8
H         40.0         19.5
H         41.0         19.2
H         42.0         18.9
H         43.0         18.6
H         44.0         18.4
H         45.0         18.1
H         46.0         17.8
H         47.0         17.5
H         48.0         17.2
H         49.0         17.0
H         50.0         16.7
H         51.0         16.5
H         52.0         16.2
H         53.0         16.0
H         54.0         15.7
H         55.0         15.5
H         56.0         15.2
H         57.0         15.0
H         58.0         14.8
H         59.0         14.6
H         60.0         14.3
H         61.0         14.1
H         62.0         13.9
H         63.0         13.7
H         64.0         13.5
H         65.0         13.3
H         66.0         13.1
H         67.0         12.9
H         68.0         12.7
H         69.0         12.5
H         70.0         12.3
H         71.0         12.1
H         72.0         11.9
H         73.0         11.7
H         74.0         11.5
H         75.0         11.4
H         76.0         11.2
H         77.0         11.0
H         78.0         10.8
H         79.0         10.7
H         80.0         10.5
H         81.0         10.3
H         82.0         10.1
H         83.0          9.9
H         84.0          9.7
H         85.0          9.4
H         86.0          9.2
H         87.0          9.0
H         88.0          8.9
H         89.0          8.7
H         90.0          8.6
H         91.0          8.5
H         92.0          8.3
H         93.0          8.2
H         94.0          8.1
H         95.0          8.0
H         96.0          7.8
H         97.0          7.7
H         98.0          7.6
H         99.0          7.5
H        100.0          7.4
H        101.0          7.2
H        102.0          7.1
H        103.0          7.0
H        104.0          6.9
H        105.0          6.8
R         2265          0.5
R         3559          6.6
